,id_str,from_user,text,created_at,time,geo_coordinates,user_lang,in_reply_to_user_id_str,in_reply_to_screen_name,from_user_id_str,in_reply_to_status_id_str,source,profile_image_url,user_followers_count,user_friends_count,user_location,status_url,entities_str
526825,1.31e+18,Campbell2976,"RT @ariellaonewland: @austere1A Related. Whitness. This only aired once. 
#WWG1WGA #WWG1WGAWORLDWIDE #QAnon https://t.co/s8vCD86qlG",Sun Sep 20 23:02:26 +0000 2020,21/09/2020 00:02:26,,,,,525028644.0,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1303902656709234689/RLn-HZWS_normal.jpg,9332.0,10168.0,Texas USA ðºð¸ ,http://twitter.com/Campbell2976/statuses/1307817421663875073,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""ariellaonewland"",""name"":""ðº41DAYSð¸Ariðº"",""id"":1110476869181280300,""id_str"":""1110476869181280257"",""indices"":[3,19]}],""urls"":[]}"
526826,1.31e+18,realTuckFrumper,"RT @electroboyusa: @aphex @TylerDinucci Wow - - just followed Tyler's guide but when it comes to the House, the second most likely Democrat to flip a seat blue is @Carolyn4GA7 in #GA07 in Georgia who came within 433 votes of winning in 2018 -- closest in the country. Running against a #QAnon!

https://t.co/N6H5kzxdsg",Sun Sep 20 23:02:00 +0000 2020,21/09/2020 00:02:00,,,,,55060090.0,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",http://pbs.twimg.com/profile_images/1248082714349068292/qWFy8YzA_normal.jpg,117777.0,91930.0,Witness Protection,http://twitter.com/realTuckFrumper/statuses/1307817312850903040,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""electroboyusa"",""name"":""Andy Behrman"",""id"":366498596,""id_str"":""366498596"",""indices"":[3,17]},{""screen_name"":""aphex"",""name"":""Aphex"",""id"":17891751,""id_str"":""17891751"",""indices"":[19,25]},{""screen_name"":""TylerDinucci"",""name"":""Tyler Dinucci!!"",""id"":20714338,""id_str"":""20714338"",""indices"":[26,39]}],""urls"":[]}"
526827,1.31e+18,jaazee1,ð´ Sweden has just 13 Covid patients in intensive care and only one death per day despite NO lockdown!#QAnon #MAGA2020 #KAG @VP #Reuters @PressSec â¦@MaryWalterRadioâ© @joeNBC @ChrisPlanteShowâ© @ErinBurnett â¦@KatiePavlichâ© â¦@greggutfeldâ© https://t.co/XOpoofUynY,Sun Sep 20 23:01:48 +0000 2020,21/09/2020 00:01:48,,,,,292263105.0,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/467428893096288259/sMIBg-c-_normal.png,8661.0,7975.0,America,http://twitter.com/jaazee1/statuses/1307817263291084808,"{""hashtags"":[{""text"":""QAnon"",""indices"":[101,107]},{""text"":""MAGA2020"",""indices"":[108,117]},{""text"":""KAG"",""indices"":[118,122]},{""text"":""Reuters"",""indices"":[127,135]}],""symbols"":[],""user_mentions"":[{""screen_name"":""VP"",""name"":""Vice President Mike Pence"",""id"":818910970567344100,""id_str"":""818910970567344128"",""indices"":[123,126]},{""screen_name"":""PressSec"",""name"":""Kayleigh McEnany"",""id"":818927131883356200,""id_str"":""818927131883356161"",""indices"":[136,145]},{""screen_name"":""MaryWalterRadio"",""name"":""Mary Walter"",""id"":2697072355,""id_str"":""2697072355"",""indices"":[147,163]},{""screen_name"":""JoeNBC"",""name"":""Joe Scarborough"",""id"":21619519,""id_str"":""21619519"",""indices"":[165,172]},{""screen_name"":""ChrisPlanteShow"",""name"":""Chris Plante Show"",""id"":28119411,""id_str"":""28119411"",""indices"":[173,189]},{""screen_name"":""ErinBurnett"",""name"":""Erin Burnett"",""id"":322603418,""id_str"":""322603418"",""indices"":[191,203]},{""screen_name"":""KatiePavlich"",""name"":""Katie Pavlich"",""id"":48459553,""id_str"":""48459553"",""indices"":[205,218]},{""screen_name"":""greggutfeld"",""name"":""GregGutfeld"",""id"":28628850,""id_str"":""28628850"",""indices"":[221,233]}],""urls"":[{""url"":""https://t.co/XOpoofUynY"",""expanded_url"":""https://www.newsbreakapp.com/n/0WwAZPDH?pd=06SqYHsv&s=i2"",""display_url"":""newsbreakapp.com/n/0WwAZPDH?pd=â¦"",""indices"":[235,258]}]}"
526828,1.31e+18,Lauricellanill1,RT @MindYourPs_Qs1: @SSG_PAIN #godwins #WWG1WGA https://t.co/KVpWbePHdG,Sun Sep 20 23:01:25 +0000 2020,21/09/2020 00:01:25,,,,,7.28e+17,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",http://pbs.twimg.com/profile_images/1305379188182900737/Cut9pFEc_normal.jpg,1572.0,2185.0,"California, USA",http://twitter.com/Lauricellanill1/statuses/1307817165697896449,"{""hashtags"":[{""text"":""godwins"",""indices"":[30,38]},{""text"":""WWG1WGA"",""indices"":[39,47]}],""symbols"":[],""user_mentions"":[{""screen_name"":""MindYourPs_Qs1"",""name"":""ðºð¸ Brooke ðºð¸"",""id"":2869975106,""id_str"":""2869975106"",""indices"":[3,18]},{""screen_name"":""SSG_PAIN"",""name"":""SSG_PAINâ­â­â­"",""id"":1134503131797106700,""id_str"":""1134503131797106688"",""indices"":[20,29]}],""urls"":[],""media"":[{""id"":1269673396524081200,""id_str"":""1269673396524081153"",""indices"":[48,71],""media_url"":""http://pbs.twimg.com/media/EZ7JOiSU4AEHDnQ.jpg"",""media_url_https"":""https://pbs.twimg.com/media/EZ7JOiSU4AEHDnQ.jpg"",""url"":""https://t.co/KVpWbePHdG"",""display_url"":""pic.twitter.com/KVpWbePHdG"",""expanded_url"":""https://twitter.com/BrookeSoccermom/status/1269673425565442048/photo/1"",""type"":""photo"",""sizes"":{""thumb"":{""w"":150,""h"":150,""resize"":""crop""},""small"":{""w"":510,""h"":680,""resize"":""fit""},""medium"":{""w"":900,""h"":1200,""resize"":""fit""},""large"":{""w"":1536,""h"":2048,""resize"":""fit""}},""source_status_id"":1269673425565442000,""source_status_id_str"":""1269673425565442048"",""source_user_id"":2869975106,""source_user_id_str"":""2869975106""}]}"
526829,1.31e+18,othy,"How does #QAnon square that two of the best country songs of all time, Reba McEntireâs âFancyâ and John Michael Montgomeryâs âSold (The Grundy County Auction Incident)â glorify sex trafficking?",Sun Sep 20 23:01:03 +0000 2020,21/09/2020 00:01:03,,,,,19152258.0,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1277621561772605444/ODDPu-Qu_normal.jpg,594.0,344.0,"Chicago, IL",http://twitter.com/othy/statuses/1307817074417430529,"{""hashtags"":[{""text"":""QAnon"",""indices"":[9,15]}],""symbols"":[],""user_mentions"":[],""urls"":[]}"
526830,1.31e+18,Lori_Brandi,"RT @sandra_foskey: @WhiteHouse @realDonaldTrump @ICEgov #Trump2020 #Maga2020 #JFK #JFKJrReturn #wwg1wga #Qanon #DrainTheSwamp #DeepState #Gitmo #executed #Democrats #Deplorable #AllLivesMatter #Christians #Obama #AmericaFirst #DefendThePolice #2ndAmendment

WATCH ME DRAW PRESIDENT TRUMP HERE AT THIS LINK:  https://t.co/0xPSL0AsKR https://t.co/tpWpQTWj4Y",Sun Sep 20 23:00:35 +0000 2020,21/09/2020 00:00:35,,,,,299258346.0,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/2015970597/LoriBrandi_normal.jpg,1980.0,3019.0,Tennessee,http://twitter.com/Lori_Brandi/statuses/1307816956666482688,"{""hashtags"":[{""text"":""Trump2020"",""indices"":[56,66]},{""text"":""Maga2020"",""indices"":[67,76]},{""text"":""JFK"",""indices"":[77,81]},{""text"":""JFKJrReturn"",""indices"":[82,94]},{""text"":""wwg1wga"",""indices"":[95,103]},{""text"":""Qanon"",""indices"":[104,110]},{""text"":""DrainTheSwamp"",""indices"":[111,125]},{""text"":""DeepState"",""indices"":[126,136]}],""symbols"":[],""user_mentions"":[{""screen_name"":""sandra_foskey"",""name"":""Sandra Foskey"",""id"":1169753084429574100,""id_str"":""1169753084429574146"",""indices"":[3,17]},{""screen_name"":""WhiteHouse"",""name"":""The White House"",""id"":822215673812119600,""id_str"":""822215673812119553"",""indices"":[19,30]},{""screen_name"":""realDonaldTrump"",""name"":""Donald J. Trump"",""id"":25073877,""id_str"":""25073877"",""indices"":[31,47]},{""screen_name"":""ICEgov"",""name"":""ICE"",""id"":39384517,""id_str"":""39384517"",""indices"":[48,55]}],""urls"":[]}"
526831,1.31e+18,whocaresfu0,@prayingmedic You are a gem ð #QAnon,Sun Sep 20 22:59:24 +0000 2020,20/09/2020 23:59:24,,,83932539,prayingmedic,1.3e+18,1.31e+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1306494790784040963/mW5P3ohY_normal.jpg,87.0,262.0,,http://twitter.com/whocaresfu0/statuses/1307816659378290688,"{""hashtags"":[{""text"":""QAnon"",""indices"":[30,36]}],""symbols"":[],""user_mentions"":[{""screen_name"":""prayingmedic"",""name"":""Praying Medic"",""id"":83932539,""id_str"":""83932539"",""indices"":[0,13]}],""urls"":[]}"
526832,1.31e+18,jjhorr,"RT @3days3nights: 1. Proof of Submission to Trump

Relax. Trump already won. He forced the globe to submit to #MAGA under fear of DECLASS. Everything you are witnessing now is the dead cat bounce of Satanic Socialists. And it will wake up BILLIONS.

Hereâs proof to make your day. 

#QAnon https://t.co/U8PA8hkM86",Sun Sep 20 22:59:14 +0000 2020,20/09/2020 23:59:14,,,,,282158827.0,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1261415312467079168/NhhkGWVo_normal.jpg,390.0,1301.0,"Behind Enemy Lines, USA",http://twitter.com/jjhorr/statuses/1307816618811105280,"{""hashtags"":[{""text"":""MAGA"",""indices"":[110,115]}],""symbols"":[],""user_mentions"":[{""screen_name"":""3days3nights"",""name"":""ðºð¸ 3Days3Nights ðºð¸"",""id"":1230589207791493000,""id_str"":""1230589207791493123"",""indices"":[3,16]}],""urls"":[]}"
526833,1.31e+18,PaulMarasco1,"@marklevinshow Knew it.

All you RACISTS said you werenât going to pay attention to football.

But here we are.

Hypocrite much?

#Racist #RacistMarkLevin #MarkLevinIsARacist #HasBeen #NeverWas #BLM #BlackLivesMatter  #Hypocrite #Cult45 #Patriot",Sun Sep 20 22:58:57 +0000 2020,20/09/2020 23:58:57,,,38495835,marklevinshow,1.18e+18,1.31e+18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1295561376161701888/lGbLULko_normal.jpg,1.0,201.0,"Scottsdale, Arizona",http://twitter.com/PaulMarasco1/statuses/1307816548002791424,"{""hashtags"":[{""text"":""Racist"",""indices"":[130,137]},{""text"":""RacistMarkLevin"",""indices"":[138,154]},{""text"":""MarkLevinIsARacist"",""indices"":[155,174]},{""text"":""HasBeen"",""indices"":[175,183]},{""text"":""NeverWas"",""indices"":[184,193]},{""text"":""BLM"",""indices"":[194,198]},{""text"":""BlackLivesMatter"",""indices"":[199,216]},{""text"":""Hypocrite"",""indices"":[218,228]},{""text"":""Cult45"",""indices"":[229,236]},{""text"":""PatriotsUnited"",""indices"":[237,252]},{""text"":""QAnon"",""indices"":[253,259]},{""text"":""QMoron"",""indices"":[260,267]}],""symbols"":[],""user_mentions"":[{""screen_name"":""marklevinshow"",""name"":""Mark R. Levin"",""id"":38495835,""id_str"":""38495835"",""indices"":[0,14]}],""urls"":[]}"
526834,1.31e+18,KYRAdives,"#QAnon, #SaveTheChikdren? Heard of #JeffreyEpstein and his buddy Don? LEARN: https://t.co/UHyUYRIIpw",Sun Sep 20 22:58:41 +0000 2020,20/09/2020 23:58:41,,,,,42232623.0,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",http://pbs.twimg.com/profile_images/445779851471880192/GQ2igWEO_normal.jpeg,6.0,15.0,,http://twitter.com/KYRAdives/statuses/1307816481552433152,"{""hashtags"":[{""text"":""QAnon"",""indices"":[0,6]},{""text"":""SaveTheChikdren"",""indices"":[8,24]},{""text"":""JeffreyEpstein"",""indices"":[35,50]}],""symbols"":[],""user_mentions"":[],""urls"":[{""url"":""https://t.co/UHyUYRIIpw"",""expanded_url"":""https://www.youtube.com/watch?v=Yu9IdxshAkc&feature=share&fbclid=IwAR0pvqVjLNe4kJnsq-fX1ICtivMRPW9_qH7kezQP_JmdsGrbgzdaRwoiCzc"",""display_url"":""youtube.com/watch?v=Yu9Idxâ¦"",""indices"":[77,100]}]}"
